hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,,,,,,,,,,,,,,
Bibimys_chacoensis,RODENTIA,CRICETIDAE,Bibimys,chacoensis,Terrestrial,wild,6,1,0,0,2801,"(Shamel, 1931)",NA,Chaco Crimson-nosed Rat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Bison_bison,CETARTIODACTYLA,BOVIDAE,Bison,bison,Terrestrial,wild,1187,291,1,1,2815,"(Linnaeus, 1758)",NA,American Bison,NA,NA,NT,NA,3.1,2008,stable,,,,,,,,,,,,,,
Bison_bonasus,CETARTIODACTYLA,BOVIDAE,Bison,bonasus,Terrestrial,wild,705,92,1,1,2814,"(Linnaeus, 1758)",NA,"European Bison, Wisent","Bison d'Europe, Bison D'Europe","Bisonte Europeo, Bisonte Europeo",VU,D1,3.1,2008,increasing,,,,,,,,,,,,,,
Blastocerus_dichotomus,CETARTIODACTYLA,CERVIDAE,Blastocerus,dichotomus,Terrestrial,wild,87,26,1,0,2828,"(Illiger, 1815)",NA,Marsh Deer,Cerf Des Marais,"Ciervo De Los Pantanos, Ciervo Marisme_o",VU,A4acde,3.1,2008,decreasing,,,,,,,,,,,,,,
Bos_gaurus,CETARTIODACTYLA,BOVIDAE,Bos,gaurus,Terrestrial,domestic,199,27,1,1,2891,"C.H. Smith, 1827",Bos asseel  |Bos cavifrons  |Bos gaur  |Bos gaurus subspecies hubbacki|Bos gour  |Bos subhemachalus  |Bubalibos annamiticus  |Gauribos brachyrhinus  |Gauribos laosiensis  |Gauribos mekongensis  |Gauribos sylvanus  |Uribos platyceros,"Gaur, Indian Bison",NA,NA,VU,A2cd+3cd+4cd,3.1,2008,decreasing,,,,,,,,,,,,,,
Bos_javanicus,CETARTIODACTYLA,BOVIDAE,Bos,javanicus,Terrestrial,domestic,105,16,1,1,2888,"d'Alton, 1823",Bos birmanicus  |Bos lowi,"Banteng, Tembadau",NA,NA,EN,A2cd+3cd+4cd,3.1,2008,decreasing,,,,,,,,,,,,,,
Bos_mutus,CETARTIODACTYLA,BOVIDAE,Bos,mutus,Terrestrial,domestic,54,15,1,1,2892,"(Przewalski, 1883)",NA,"Wild Yak, Yak",NA,NA,VU,A2ac+3c+4c,3.1,2008,decreasing,,,,,,,,,,,,,,
Bos_taurus,CETARTIODACTYLA,BOVIDAE,Bos,taurus,Terrestrial,domestic,4238,2742,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
Boselaphus_tragocamelus,CETARTIODACTYLA,BOVIDAE,Boselaphus,tragocamelus,Terrestrial,wild,152,37,0,1,2893,"(Pallas, 1766)",NA,Nilgai,Nilgau,Nilgo,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Bradypus_tridactylus,PILOSA,BRADYPODIDAE,Bradypus,tridactylus,Terrestrial,wild,141,17,0,0,3037,"Linnaeus, 1758",NA,"Pale-throated Sloth, Pale-throated Three-toed Sloth",NA,NA,LC,NA,3.1,2011,unknown,,,,,,,,,,,,,,
Bradypus_variegatus,PILOSA,BRADYPODIDAE,Bradypus,variegatus,Terrestrial,wild,77,14,0,0,3038,"Schinz, 1825",NA,"Bolivian Three-toed Sloth, Brown-throated Sloth, Brown-throated Three-toed Sloth","A_ De Bolivie, Bradype, Paresseux Tridactyle, Paresseux Tridactyle De Bolivie","Guasa, Perezoso Bayo, Perezoso Grisaceo, Perezoso Trid_ctilo, Perico Ligero",LC,NA,3.1,2011,unknown,,,,,,,,,,,,,,
Bubalus_arnee,CETARTIODACTYLA,BOVIDAE,Bubalus,arnee,Terrestrial,wild,23,1,1,0,3129,"(Kerr, 1792)",Bos arni  |Bos bubalus variety fulvus|Bubalis bubalis subspecies migona|Bubalus arna  |Bubalus arna variety macrocerus|Bubalus bubalus subspecies septentrionalis,"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo","Buffle D'Eau, Buffle De L'Inde",Bufalo Arni,EN,A2cde+3cde+4cde; C1,3.1,2008,decreasing,,,,,,,,,,,,,,
Bubalus_bubalis,CETARTIODACTYLA,BOVIDAE,Bubalus,bubalis,Terrestrial,domestic,967,453,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
